BOARD,CYCLE,PROBE,COUNTER_GROUP,HOST_START_MS,HOST_END_MS,RAW_PACKED,MAIN_RAW,HELPER_RAW,MAIN_VALUE,HELPER_VALUE,VALID,COUNTER_WIDTH_BITS,SOURCE_SEMANTICS,READ_ATOMICITY,DELTA_POLICY
DE5 [1-11.2],82,56,FAILED,1789467985373,1789467985374,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],83,54,START,1789467986703,1789467986704,00003E740001383B,0001383B,3e+74,79931,15988,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],83,55,COMPLETED,1789467986704,1789467986704,00003E740001383B,0001383B,3e+74,79931,15988,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],83,56,FAILED,1789467986704,1789467986704,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],84,54,START,1789467987966,1789467987966,00003F0900013BA4,00013BA4,00003F09,80804,16137,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],84,55,COMPLETED,1789467987966,1789467987966,00003F0900013BA3,00013BA3,00003F09,80803,16137,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],84,56,FAILED,1789467987966,1789467987967,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],85,54,START,1789467989302,1789467989302,00003F9D00013F1D,00013F1D,00003F9D,81693,16285,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],85,55,COMPLETED,1789467989302,1789467989302,00003F9D00013F1D,00013F1D,00003F9D,81693,16285,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],85,56,FAILED,1789467989302,1789467989302,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],86,54,START,1789467990663,1789467990664,400100014304,14304,4001,82692,16385,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],86,55,COMPLETED,1789467990664,1789467990664,400100014304,14304,4001,82692,16385,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],86,56,FAILED,1789467990664,1789467990664,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],87,54,START,1789467991986,1789467991987,000040890001468E,0001468E,4089,83598,16521,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],87,55,COMPLETED,1789467991987,1789467991987,000040890001468D,0001468D,4089,83597,16521,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],87,56,FAILED,1789467991987,1789467991987,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],88,54,START,1789467993260,1789467993260,000040D700014A44,00014A44,000040D7,84548,16599,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],88,55,COMPLETED,1789467993260,1789467993260,000040D700014A43,00014A43,000040D7,84547,16599,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],88,56,FAILED,1789467993260,1789467993261,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],89,54,START,1789467994567,1789467994567,0000415D00014DDC,00014DDC,0000415D,85468,16733,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],89,55,COMPLETED,1789467994567,1789467994567,0000415D00014DDB,00014DDB,0000415D,85467,16733,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],89,56,FAILED,1789467994568,1789467994568,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],90,54,START,1789467995838,1789467995838,000041C800015171,15171,000041C8,86385,16840,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],90,55,COMPLETED,1789467995838,1789467995839,000041C800015171,15171,000041C8,86385,16840,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],90,56,FAILED,1789467995839,1789467995839,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],91,54,START,1789467997176,1789467997176,424700015526,15526,4247,87334,16967,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],91,55,COMPLETED,1789467997176,1789467997177,424700015525,15525,4247,87333,16967,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],91,56,FAILED,1789467997177,1789467997177,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],92,54,START,1789467998459,1789467998460,000042A7000158CF,000158CF,000042A7,88271,17063,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],92,55,COMPLETED,1789467998460,1789467998460,000042A7000158CE,000158CE,000042A7,88270,17063,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],92,56,FAILED,1789467998460,1789467998460,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
