ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,DURATION_MS,WR_CORE_VALID,DIRECT_VALID,TRANSPORT_FAILURE,ROLE_IDENTITY_VALID,STATUS_RAW,SSTAT_RAW,PTP_META_RAW,WR_FAILURE_RAW,WR_STATE_RAW,PSTAT_RAW,LOCK_RESULT_RAW,SPLL_STATE_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,SI_CONFIG_DONE,WR_READY,CORE_TM_LINK_UP,CORE_LINK_OK,WR_RX_READY,WR_TX_READY,CPU_RESET_N,PHY_LINK_USABLE,PTP_STATE,PD_STATE,EXT_STATE,WRC_MODE,CURRENT_WR_STATE,WR_NEXT_STATE,PSTAT_LOCKED,SPLL_DELOCK_COUNT,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,RESET_FIELDS_VALID,RESET_CHANGED,TERMINAL,TERMINAL_STREAK,WR_FAILURE_REASON,WR_DISABLE_VALID,STOP_REASON
SLAVE,DE5 [1-11.2],42,1789467932945,1789467933038,93,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],15,1789467933232,1789467933324,92,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],43,1789467934286,1789467934377,91,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],44,1789467935589,1789467935680,91,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],45,1789467936888,1789467936980,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],16,1789467937166,1789467937258,92,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],46,1789467938187,1789467938278,91,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],47,1789467939435,1789467939527,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],48,1789467940683,1789467940775,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],17,1789467940983,1789467941075,92,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],49,1789467942073,1789467942165,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
