ROLE,BOARD,SAMPLE,ELAPSED_MS,HOST_START_MS,HOST_END_MS,DURATION_MS,VALID,TRANSPORT_ERROR,PARSE_ERROR,STATUS_RAW,PSTAT_RAW,WR_STATE_RAW,SPLL_STATE_RAW,WR_FAILURE_RAW,LOCK_RESULT_RAW,PTP_META_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,MAIN_EPOCH_RAW,MAIN_UPDATE_RAW,MAIN_DETECTOR_RAW,MAIN_STATE_RAW,POSITION_RAW,ACCOUNTING_RAW,L2_STATUS_RAW,L2_PENDING_RAW,L2_COMPLETED_RAW,RESET_FIELDS_VALID,RESET_CHANGED,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,WR_FAILURE_REASON,WR_DISABLE_VALID,TERMINAL,STOP_REASON,READ_ERROR
MASTER,DE5 [1-11.1],6,20111,1789464185602,1789464185832,230,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,000009F6,0,0,0,TIMEOUT,TIMEOUT,BBEC7DB6E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],6,24448,1789464189939,1789464190190,251,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,202,0002C1A4,6403105,3,0A840DDAD585D5AF,A8E80D3CA8E8185E,DBDC77393A1E0005,00000D3C00009453,0000259B0000834E,1,0,1,1,0,0,0,0,0,NONE,0000259B0000834E
MASTER,DE5 [1-11.1],7,24700,1789464190191,1789464190441,250,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000A52,0,0,0,TIMEOUT,TIMEOUT,C9A9415BE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],7,29044,1789464194535,1789464194788,253,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,208,31650,7603205,3,0B3B0E93D605D5E9,B73B0D3CB73B19CE,E9908B93CEDC000D,00000D3C0000A243,0000270A00009031,1,0,1,1,0,0,0,0,0,NONE,0000270A00009031
MASTER,DE5 [1-11.1],8,29298,1789464194789,1789464195029,240,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000AAE,0,0,0,TIMEOUT,TIMEOUT,D755250CE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],8,33637,1789464199128,1789464199378,250,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,0000020C,00034EC5,6403205,3,0C040F5BD5C5D5C3,C57C0D3CC57C1B5F,F73E82525F5A000C,00000D3C0000B022,0000289B00009CE2,1,0,1,1,0,0,0,0,0,NONE,0000289B00009CE2
MASTER,DE5 [1-11.1],9,33888,1789464199379,1789464199604,225,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000B0A,0,0,0,TIMEOUT,TIMEOUT,E4F7EC1AE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
MASTER,DE5 [1-11.1],10,37114,1789464202605,1789464202830,225,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000B4A,0,0,0,TIMEOUT,TIMEOUT,EE949C6EE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],9,38450,1789464203941,1789464204193,252,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,212,0003A375,6403105,3,0CC5101ED645D625,D49D0D3CD49D1CE3,05977115275C0005,00000D3C0000BEB0,00002A1F0000AA7E,1,0,1,1,0,0,0,0,0,NONE,00002A1F0000AA7E
MASTER,DE5 [1-11.1],11,40771,1789464206262,1789464206491,229,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000B94,0,0,0,TIMEOUT,TIMEOUT,F97DA773E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],10,43069,1789464208560,1789464208814,254,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,216,0003DBE9,6403105,1,0DC11116D545D565,E3020D3CE3021ED7,135CD8BCC09E0005,00000D3C0000CC53,00002C140000B6EF,1,0,1,1,0,0,0,0,0,NONE,00002C140000B6EF
MASTER,DE5 [1-11.1],12,44001,1789464209492,1789464209726,234,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000BD4,0,0,0,TIMEOUT,TIMEOUT,0322317BE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],11,47666,1789464213157,1789464213409,252,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,0000021C,0004309B,6403205,3,0EA61203D745D766,F13E0D3CF13E20A9,210F028E4F9E000D,00000D3C0000D9F5,00002DE50000C35A,1,0,1,1,0,0,0,0,0,NONE,00002DE50000C35A
MASTER,DE5 [1-11.1],13,47919,1789464213410,1789464213635,225,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000C22,0,0,0,TIMEOUT,TIMEOUT,0EC850A7E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
MASTER,DE5 [1-11.1],14,51144,1789464216635,1789464216862,227,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000C62,0,0,0,TIMEOUT,TIMEOUT,186607F3E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],12,52507,1789464217998,1789464218249,251,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,220,46916,6403205,3,0FCD132AD745D738,00620D3C006222F7,2F7BA3A5189C000D,00000D3C0000E839,000030330000D02F,1,0,1,1,0,0,0,0,0,NONE,000030330000D02F
MASTER,DE5 [1-11.1],15,54870,1789464220361,1789464220593,232,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000CAE,0,0,0,TIMEOUT,TIMEOUT,2384885FE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
