ROLE,BOARD,CYCLE,PROFILE,PROFILE_ATTEMPTS,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,ELAPSED_MS,ACCEPTED,FRESH,STALE,AMBIGUOUS,PRODUCER_STATUS,UPDATE_COUNT,EPOCH_BEFORE,EPOCH_AFTER,TRANSPORT_ERROR,PARSE_ERROR,ODD_OR_SENTINEL,EPOCH_CHANGED,ARITHMETIC_MISMATCH,RANGE_MISMATCH,REASON,STOP_REASON
SLAVE,DE5 [1-11.2],55,FULL,8,1789464228433,1789464229540,1107,64049,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,353047,705338,706094,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],56,CORE,1,1789464230041,1789464230258,217,64767,1,1,0,0,FRESH,355718,711436,711436,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],57,FULL,8,1789464230957,1789464232063,1106,66572,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,362586,724398,725172,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],58,CORE,1,1789464232563,1789464232757,194,67266,1,1,0,0,FRESH,365258,730516,730516,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],59,FULL,8,1789464233257,1789464234379,1122,68888,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,371355,741952,743478,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],60,CORE,2,1789464234879,1789464235130,251,69639,1,1,0,0,FRESH,374410,748820,748820,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],61,FULL,8,1789464235630,1789464236736,1106,71245,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,380509,760270,761018,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],62,CORE,1,1789464237237,1789464237438,201,71947,1,1,0,0,FRESH,383186,766372,766372,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],63,FULL,8,1789464237938,1789464239056,1118,73565,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,389290,777806,778580,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],64,CORE,1,1789464239556,1789464239742,186,74251,1,1,0,0,FRESH,391956,783912,783912,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],65,FULL,8,1789464240242,1789464241335,1093,75844,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,398061,795352,796122,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],66,CORE,1,1789464241836,1789464242024,188,76533,1,1,0,0,FRESH,400726,801452,801452,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],67,FULL,8,1789464242525,1789464243628,1103,78137,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,406835,812902,813670,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],68,CORE,2,1789464244128,1789464244371,243,78880,1,1,0,0,FRESH,409503,819006,819006,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],69,FULL,8,1789464245036,1789464246142,1106,80651,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,416370,831972,832740,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],70,CORE,1,1789464246642,1789464246830,188,81339,1,1,0,0,FRESH,419039,838078,838078,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],71,FULL,8,1789464247331,1789464248451,1120,82960,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,425146,849524,850292,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],72,CORE,1,1789464248951,1789464249143,192,83652,1,1,0,0,FRESH,427811,855622,855622,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],73,FULL,8,1789464249643,1789464250753,1110,85262,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,433917,867068,867834,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],74,CORE,1,1789464251254,1789464251439,185,85948,1,1,0,0,FRESH,436587,873174,873174,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],75,FULL,8,1789464251939,1789464253051,1112,87560,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,442686,884616,885372,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],76,CORE,1,1789464253553,1789464253750,197,88259,1,1,0,0,FRESH,445360,890720,890720,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],77,FULL,8,1789464254250,1789464255353,1103,89862,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,451462,902154,902924,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],78,CORE,1,1789464255853,1789464256040,187,90549,1,1,0,0,FRESH,454136,908272,908272,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],79,FULL,8,1789464256540,1789464257648,1108,92157,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,460239,919704,920478,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],80,CORE,1,1789464258148,1789464258337,189,92846,1,1,0,0,FRESH,462909,925818,925818,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],81,FULL,8,1789464259058,1789464260163,1105,94673,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,469769,938788,939538,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],82,CORE,1,1789464260665,1789464260851,186,95360,1,1,0,0,FRESH,472444,944888,944888,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],83,FULL,8,1789464261352,1789464262492,1140,97001,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,478540,957080,957848,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],84,CORE,2,1789464262992,1789464263242,250,97751,1,1,0,0,FRESH,481600,963200,963200,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],85,FULL,8,1789464263742,1789464264853,1111,99362,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,487702,974630,975404,0,0,0,1,0,0,EPOCH_CHANGED,NONE
